Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas,,,,
2004,Ivan,Category 5,15.75,107,"$4,000,000,000.00",29,"Windward Islands (especially Grenada), Trinidad and Tobago, Venezuela, Barbados, Jamaica, Hispaniola, Grand Cayman, Cuba, Yucatan Peninsula, Eastern United States, Florida, Alabama, most of the United States Gulf Coast, and Canada",,,,
2004,Jeanne,Category 3,11.97,128,"$7,500,000,000.00",6,"U.S. Virgin Islands, Puerto Rico, Dominican Republic, Haiti, Bahamas, Florida, Eastern United States",,,,
2004,Matthew,TS,3.29,45,"$305,000.00",0,"Louisiana, Mississippi, Alabama, Florida, Arkansas, Missouri, Ohio Valley",,,,
2005,Arlene,TS,6.07,70,"$11,800,000.00",2,"Yucatán Peninsula, Cayman Islands, Cuba, Eastern United States, Eastern Canada",,,,
2005,Cindy,Category 1,5,75,"$320,000,000.00",3,"Yucatán Peninsula, Southeastern United States, Northeastern United States, Atlantic Canada",,,,
2005,Dennis,Category 4,8.7,150,"$3,980,000,000.00",88,"Windward Islands, Greater Antilles, Southeastern United States, Great Lakes Region, Canada",,,,
2005,Katrina,Category 5,16.43,97,"$623,000,000.00",14,"Bahamas, Florida, Lousiana, Mississippi, Alabama, Eastern United States, Eastern Canada",,,,
2005,Ophella,Category 1,5.04,85,"$70,000,000.00",4,"Bahamas, East Coast of the United States, Atlantic Canada",,,,
2005,Rita,Category 5,5.04,58,"$18,500,000,000.00",120,"Hispaniola, Turks and Caicos Islands, Bahamas, Cuba, Florida, Georgia, Mississippi, Louisiana, Texas, Oklahoma, Arkansas, Missouri, Tennessee, Kentucky, Illinois, Great Lakes region",,,,
2005,Tammy,TS,4.883,60,"$30,000,000.00",10,"Bahamas, Florida, Georgia, South Carolina",,,,
2005,Wilma,Category 5,13.26,135,"$26,500,000,000.00",52,"Mexico, Florida, Bahamas",,,,
2006,Alberta ,TS,7.08,70,"$420,000.00",7,"Northwest Caribbean, Southeastern United States, Atlantic Canada",,,,
2006,Ernesta,TS,8.72,75,"$500,000,000.00",11,"Lesser Antilles, Greater Antilles, East Coast of the United States, Atlantic Canada",,,,
2007,Andrea,TS,0.5,60,,6,"Virginia, Southeastern U.S., Bahamas",,,,
2007,Barry,TS,6.99,60,"$118,000.00",3,"El Salvador, western Cuba, Florida, East Coast of the United States, Atlantic Canada",,,,
2007,Dean,Category 5,13.07,175,"$1,660,000,000.00",45,"Lesser Antilles, Greater Antilles, Nicaragua, Honduras, Belize, Guatemala, Mexico, Gulf Coast of the United States, Southwestern United States",,,,
2007,Gabrielle,TS,9.03,60,,1,North Carolina,,,,
2007,Humberto,Category 1,14.13,90,"$50,000,000.00",1,"Texas, Louisiana, Mississippi, The Carolinas",,,,
2007,Noel,Category 1,17.23,80,"$580,000,000.00",222,"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cuba, Turks and Caicos Islands, Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",,,,
2007,Olga,TS,10,60,"$45,000,000.00",40,"Puerto Rico, Hispaniola, Yucatan Peninsula, central Florida",,,,
2008,Cristobal,TS,6,65,"$10,000.00",0,"Florida, The Carolinas, Atlantic Canada",,,,
2008,Dolly,Category 2,16,100,"$1,600,000,000.00",22,"Cayman Islands, Honduras, Belize, Guatemala, Yucatán Peninsula, Mexico, Texas, New Mexico, Arizona",,,,
2008,Edouard,TS,3.81,65,"$550,000.00",6,"Florida, Alabama, Mississippi, Louisiana, Texas, Oklahoma",,,,
2008,Fay,TS,27.65,70,"$560,000,000.00",36,"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cayman Islands, Cuba, Florida, Georgia, Alabama, Mississippi, Louisiana, Arkansas, North Carolina, Tennessee, Kentucky, West Virginia and Ohio",,,,
2008,Gustav,Category 4,10.75,155,"$8,310,000,000.00",153,"Lesser Antilles, Greater Antilles, United States Gulf Coast, Oklahoma, Arkansas, Tennessee, Missouri, Illinois, Michigan",,,,
2008,Hanna,Category 1,12,85,"$160,000,000.00",537,"Puerto Rico, Turks and Caicos Islands, Bahamas, Hispaniola, Eastern Seaboard, Atlantic Canada",,,,
2008,Ike,Category 4,10,145,"$38,000,000,000.00",214,"Lucayan Archipelago, Hispanialo, Cuba, Cayman Islands, Texas, South Central United States, Great Lakes region, Canada",,,,
2008,Paloma,Category 4,17.77,145,"$455,000,000.00",1,"Central America, Jamaica, Cayman Islands, Cuba, Bahamas, Florida",,,,
2009,Claudette,TS,7,60,"$350,000.00",2,Southeastern United States,,,,
2009,Bill,Category 4,3.74,130,"$46,200,000.00",2,"Northeastern Caribbean, Northeastern United States, Bermuda, Eastern Canada, British Isles",,,,
2009,Danny,TS,7,60,,1,"North Carolina, Northeastern United States and Atlantic Canada",,,,
2009,Ida,Category 2,18,105,"$11,400,000.00",4,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, Southeastern United States, Mid-Atlantic states, New England, Atlantic Canada",,,,
2010,Alex,Category 2,23.1,110,"$1,520,000,000.00",73,"Greater Antilles, Central America, Yucatán Peninsula, Northern Mexico, Texas",,,,
2010,Bonnie,TS,3.25,45,"$1,360,000.00",1,"Puerto Rico, Hispaniola, Turks and Caicos, Bahamas, Florida",,,,
2010,Danielle,Category 4,18.29,130,,1,United States East Coast,,,,
2010,Earl,Category 4,6.31,145,"$45,000,000.00",8,"Leeward Islands, Puerto Rico, Bahamas, East Coast of the United States, Eastern Canada",,,,
2010,Igor,Category 4,3.19,155,"$200,000,000.00",4,"Cape Verde, Northeastern Caribbean, Eastern United States, Bermuda, Newfoundland, Saint Pierre and Miquelon, Southern Greenland",,,,
2010,Nicole,TS,37.42,45,"$245,000,000.00",20,"Cayman Islands, Jamaica, Cuba, Florida, Bahamas, United States East Coast",,,,
2010,Paula,Category 2,7.9,105,,1,"Nicaragua, Honduras, Mexico, Cuba, Bahamas and Florida",,,,
2011,Bret,TS,3,70,,0,"Bahamas, Bermuda, East Coast of the United States",,,,
2011,Irene,Category 3,7,120,"$14,200,000,000.00",58,"Hispaniola, Lesser Antilles, Greater Antilles, Turks and Caicos, Bahamas, East Coast of the United States, Vermont, Pennsylvania, Atlantic Canada",,,,
2011,Lee,TS,7,60,"$2,800,000,000.00",18,United States Gulf Coast and Eastern United States,,,,
2011,Katia,Category 4,0.85,140,"$157,000,000.00",4,"Lesser Antilles, East Coast of the United States, United Kingdom, France, Germany, Poland, Latvia, Estonia, Russia",,,,
2011,Rina,Category 3,15.79,115,"$2,300,000.00",0,"Central America, Yucatán Peninsula, Cuba, Florida",,,,
2011,Sean,TS,,65,,1,Bermuda,,,,
2012,Beryl,TS,15,70,"$148,000.00",3,"Cuba, The Bahamas, Southeastern United States",,,,
2012,Debby,TS,28.78,65,"$250,000,000.00",8,"Cuba, Central America, Southeastern United States, Bermuda",,,,
2012,Isaac,Category 1,15.86,80,"$3,110,000,000.00",41,"Leeward Islands, Puerto Rico, Hispaniola, Cuba, The Bahamas, Florida, Louisiana, Arkansas, Kentucky, Mississippi, Alabama, Missouri, Illinois, Indiana",,,,
2012,Sandy,Category 3,3,115,"$68,700,000,000.00",233,"Greater Antilles, Bahamas, most of the eastern United States (especially the coastal Mid-Atlantic States), Bermuda, eastern Canada",,,,
2013,Andrea,TS,14.27,65,"$86,000.00",4,"Yucatán Peninsula, Cuba, United States East Coast, Atlantic Canada",,,,
2013,Karen,TS,6.95,65,"$18,000.00",0,"Yucatán Peninsula, Gulf Coast of the United States, Eastern United States",,,,
2014,Bertha,Category 1,5.9,80,,4,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, Lucayan Archipelago, East Coast of the United States, Western Europe",,,,
2015,Ana,TS,3.17,60,,2,Southeastern United States,,,,
2015,Erika,TS,9,50,"$511,000,000.00",35,"Antilles (particularly Dominica), The Bahamas, Florida",,,,
2015,Joaquin,Category 4,5,155,"$200,000,000.00",34,"Lucayan Archipelago (especially The Bahamas), Cuba, Haiti, Southeastern United States (especially Florida and The Carolinas), Bermuda, Azores, Iberian Peninsula, Morocco",,,,
2015,Patricia,Category 5,7.3,215,"$463,000,000.00",13,"Mexico, Texas",,,,
2016,Bonnie,TS,10,45,"$640,000.00",2,"The Bahamas, The Southeastern United States",,,,
2016,Colin,TS,17.54,50,"$1,040,000.00",6,"Yucatan Peninsula, Cuba, East Coast of the United States",,,,
2016,Hermine,Category 1,22.36,50,"$550,000,000.00",5,"Dominican Republic, Cuba, The Bahamas, Florida, East coast of the United States, Atlantic Canada",,,,Saint BarthÃ©lemy
2016,Julia,TS,18,50,"$6,130,000.00",0,"The Bahamas, Southeastern United States",,,,San AndrÃ©s
2016,Matthew,Category 2,9,100,"$2,770,000,000.00",12,Florida Peninsula and the First Coast,,,,
2016,Nicole,Category 4,6.77,140,"$15,000,000.00",2,"Bermuda, North Atlantic Coastlines",,,,
2017,Cindy,TS,9.46,60,"$25,000,000.00",3,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southern United States, Eastern United States",,,,
2017,Emily,TS,7.19,60,"$10,000,000.00",0,"Louisiana, Florida",,,,
2017,Harvey,Category 4,40,130,"$125,000,000,000.00",107,"Windward Islands, Suriname, Guyana, Nicaragua, Honduras, Belize, Cayman Islands, Yucatán Peninsula, Southern and Eastern United States (especially Texas and Louisiana)",,,,
2017,Irma,Category 5,21.66,180,"$77,200,000,000.00",134,"Cape Verde, Leeward Islands (especially Barbuda, Saint Barthélemy, Anguilla, Saint Martin and the Virgin Islands), Greater Antilles (Cuba and Puerto Rico), Turks and Caicos Islands, Jamaica, The Bahamas, Eastern United States (especially Florida)",,,,
2017,Maria,Category 5,4.33,175,"$91,600,000,000.00",3059,Southeastern United States and surrounding areas,,,,
2017,Nate,Category 1,10,90,"$737,000,000.00",48,"Jamaica, Costa Rica, Central America, Cayman Islands, Cuba, Mexico, East Coast of the United States, Atlantic Canada, St Pierre and Miquelon",,,,
2017,Philipee,TS,10.93,40,"$100,000,000.00",5,"Central America, Cayman Islands, Yucatán Peninsula, Cuba, East Coast of the United States",,,,
2018,Alberto,TS,11.8,65,"$125,000,000.00",18,"Yucatán Peninsula, Cuba, Eastern United States, Canada",,,,
2018,Gordon,TS,12.73,70,"$250,000,000.00",4,"Hispaniola, Cuba, The Bahamas, South Florida, Florida Keys, Gulf Coast of the United States, Arkansas, Missouri, United States East Coast, Southern Ontario",,,,
2018,Florence,Category 4,30,150,"$24,200,000,000.00",54,"West Africa, Cape Verde, Bermuda, East Coast of the United States (especially the Carolinas), Atlantic Canada",,,,
2018,Michael,Category 5,11.62,160,"$25,500,000,000.00",74,"Central America, Yucatán Peninsula, Cayman Islands, Cuba, Southeastern United States (especially the Florida Panhandle and Georgia), Eastern United States, Eastern Canada, Iberian Peninsula",,,,
2019,Barry,Category 1,16.59,75,"$900,000,000.00",3,"Midwestern United States, Gulf Coast of the United States, Arkansas, Oklahoma, Eastern United States, Eastern Canada",,,,
2019,Dorian,Category 5,15.21,185,"$5,100,000,000.00",84,"Lesser Antilles, Puerto Rico, The Bahamas (especially the Abaco Islands and Grand Bahama), Eastern United States (especially Florida, Georgia, South Carolina, and North Carolina), Eastern Canada",,,,
2019,Humberto,Category 3,1.57,125,"$25,000,000.00",2,"Bahamas, East Coast of the United States, Puerto Rico, Bermuda, Atlantic Canada",,,,
2019,Lorenzo,Category 5,8,160,"$367,000,000.00",20,"West Africa, Cape Verde, Lesser Antilles, Eastern United States, Azores, the British Isles, France, Germany, Eastern Europe",,,,
2019,Nestor,TS,7.77,60,"$150,000,000.00",3,"Central America, Yucatan Peninsula, Southeastern United States",,,,
2020,Arthur,TS,5.35,60,"$112,000.00",0,"Cuba, South Florida, The Bahamas, North Carolina, Mid-Atlantic United States, Bermuda",,,,
2020,Bertha,TS,7.4,50,"$130,000.00",1,Eastern United States (especially Florida and South Carolina),,,,
2020,Cristobal,TS,24.48,60,"$865,000,000.00",46,"Central America (especially Guatemala, El Salvador and Honduras), Mexico, Central United States, Great Lakes Region, Eastern Canada",,,,
2020,Fay,TS,4.58,60,"$220,000,000.00",6,"Eastern Southeastern United States, East Coast of the United States, Atlantic Canada",,,,
2020,Hanna,Category 1,15,90,"$1,200,000,000.00",9,"Cuba, Hispaniola, Gulf Coast of the United States (mainly Texas), Mexico",,,,
2020,Isaias,Category 1,6,90,"5.030,000,000",17,"West Africa, Lesser Antilles, Greater Antilles, The Bahamas, East Coast of the United States, Eastern Canada",,,,
2020,Marco,Category 1,11.81,75,"$35,000,000.00",0,"Central America, western Caribbean, Yucatán Peninsula, Gulf Coast of the United States",,,,
2020,Laura,Category 4,10,150,"$23,300,000,000.00",81,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States",,,,
2020,Sally,Category 2,22.5,110,"$7,300,000.00",9,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States",,,,
2020,Gamma,Category 1,15,75,"$100,000,000.00",6,"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida",,,,
2020,Delta,Category 4,15,140,"$3,090,000,000.00",6,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Eastern United States",,,,
2020,Zeta,Category 3,2.43,115,"$4,400,000,000.00",9,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom",,,,
2020,Eta,Category 4,26.33,150,"$8,300,000,000.00",275,"San Andrés, Jamaica, Central America, Cayman Islands, Cuba, Bahamas, Southeastern United States",,,,
2021,Elsa,Category 1,8,85,"$1,200,000,000.00",13,"Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada",,,,
2021,Fred,TS,9,65,"$1,300,000,000.00",7,"Lesser Antilles, Greater Antilles, Eastern United States (particularly Florida and North Carolina), Southern Quebec, The Maritimes",,,,
2021,Mindy,TS,4.85,60,"$75,200,000.00",23,"Colombia, Central America, Mexico, Southeastern United States",,,,
2022,Alex,TS,11.9,70,,4,"Yucatán Peninsula, western Cuba, Florida, the Bahamas, Bermuda",,,,
2022,Ian,Category 5,31.52,160,"$113,000,000,000.00",161,"Trinidad and Tobago, Venezuela, Colombia, ABC islands, Jamaica, Cayman Islands, Cuba, Southeast United States (especially Florida and The Carolinas)",,,,
2022,Nicole,Category 1,8,75,"$1,000,000,000.00",11,"Dominican Republic, Puerto Rico, The Bahamas, Southeastern United States",,,,
2023,Idalia,Category 4,5.5,130,"$3,600,000,000.00",12,"Yucatán Peninsula, Cayman Islands, Western Cuba, Southeastern United States, Bermuda, Atlantic Canada",,,,
2023,Lee,Category 5,6.5,165,"$50,000,000.00",4,"Bermuda, Northeastern United States, Eastern Canada",,,,
